2019S,"BIA 600JP",W,0515PM,0800PM,JP,OFF,CLOSED,LEC
2019S,"BT  310A",W,0500PM,0615PM,,BC,104,LEC
2019S,"BT  321A",F,1100AM,1240PM,,BC,321,LEC
2019S,"BT  321A",W,0900AM,0950AM,,BC,321,LEC
2019S,"BT  321B",WF,0835AM,0950AM,,BC,320,LEC
2019S,"BT  333A",TR,0930AM,1045AM,,BC,321,LEC
2019S,"BT  343A",TR,0930AM,1045AM,,BC,320,LEC
2019S,"BT  353A",TR,1230PM,0145PM,,BC,321,LEC
2019S,"BT  353B",TR,0330PM,0445PM,,X,106,LEC
2019S,"BT  372A",MW,1100AM,1215PM,,X,105,LEC
2019S,"BT  372B",TR,0330PM,0445PM,,BC,320,LEC
2019S,"BT  372C",MW,1100AM,1215PM,,BC,203,LEC
2019S,"BT  412A",M,1000AM,1050AM,,E,222,LEC
2019S,"BT  412RA",M,1100AM,1240PM,,M,205,RCT
2019S,"BT  412RB",M,1100AM,1240PM,,BC,310,RCT
2019S,"BT  412RC",M,1100AM,1240PM,,X,414,RCT
2019S,"BT  413A",M,0615PM,0845PM,,NB,102,LEC
2019S,"BT  413B",M,0615PM,0845PM,,P,116,LEC
2019S,"BT  413C",W,0630PM,0900PM,,E,222,LEC
2019S,"BT  416A",TR,0230PM,0410PM,,BC,104,LEC
2019S,"BT  419A",M,0330PM,0445PM,,BC,312,LEC
2019S,"BT  419A",W,0100PM,0215PM,,BC,312,LEC
2019S,"BT  421A",MW,0100PM,0215PM,,E,330,LEC
2019S,"BT  422A",F,0200PM,0450PM,,BC,310,LEC
2019S,"BT  425A",TR,1230PM,0145PM,,BC,104,LEC
2019S,"BT  425B",TR,1230PM,0145PM,,,,LEC
2019S,"BT  442A",TR,0330PM,0445PM,,X,105,LEC
2019S,"BT  445A",MW,0100PM,0215PM,,BC,221,LEC
2019S,"BT  450A",F,1000AM,1150AM,,B,430,SEM
2019S,"BT  454A",MW,0100PM,0215PM,,BC,321,LEC
2019S,"BT  465A",W,0630PM,0900PM,,BC,220,LEC
2019S,"BT  466A",TR,0200PM,0315PM,,BC,320,LEC
2019S,"CAL 103A",MW,0835AM,0950AM,,P,216,LEC
2019S,"CAL 103B",MW,0835AM,0950AM,,P,220,LEC
2019S,"CAL 105A",TR,0200PM,0315PM,,B,514,LEC
2019S,"CAL 105A1",TR,1230PM,0145PM,,B,430,LEC
2019S,"CAL 105A2",TWF,0200PM,0250PM,,M,105,LEC
2019S,"CAL 105A3",TW,1100AM,1150AM,,BC,220,LEC
2019S,"CAL 105A3",F,1100AM,1150AM,,BC,203,LEC
2019S,"CAL 105A4",T,1230PM,0120PM,,NB,102,LEC
2019S,"CAL 105A4",WF,1200PM,1250PM,,BC,204,LEC
2019S,"CAL 105A5",TR,0930AM,1045AM,,M,324,LEC
2019S,"CAL 105A6",TR,1100AM,1215PM,,X,119,LEC
2019S,"CAL 105A7",TR,0200PM,0315PM,,E,229A,LEC
2019S,"CAL 105A8",TR,1100AM,1215PM,,X,104,LEC
2019S,"CAL 105A9",TR,0200PM,0315PM,,BC,220,LEC
2019S,"CAL 105B",MW,0835AM,0950AM,,BC,221,LEC
2019S,"CAL 105B1",MWF,0900AM,0950AM,,M,105,LEC
2019S,"CAL 105B2",MWF,1000AM,1050AM,,B,514,LEC
2019S,"CAL 105B3",MWF,1200PM,1250PM,,M,105,LEC
2019S,"CAL 105B4",MWF,0100PM,0150PM,,M,105,LEC
2019S,"CAL 105B5",TR,1100AM,1215PM,,BC,204,LEC
2019S,"CAL 105B6",TR,0200PM,0315PM,,BC,204,LEC
2019S,"CAL 105B7",TR,1100AM,1215PM,,C,315,LEC
2019S,"CAL 105B8",TR,1230PM,0145PM,,B,118,LEC
2019S,"CAL 105B9",MF,1200PM,1250PM,,M,324,LEC
2019S,"CAL 105B9",W,1200PM,1250PM,,B,514,LEC
2019S,"CAL 105C",TR,0330PM,0445PM,,P,116,LEC
2019S,"CAL 105D",TR,0200PM,0315PM,,P,116,LEC
2019S,"CAL 105E",TR,1100AM,1215PM,,P,216,LEC
2019S,"CAL 105F",TR,0330PM,0445PM,,BC,310,LEC
2019S,"CAL 105G",TR,0200PM,0315PM,,X,218A,LEC
2019S,"CAL 105H",MWF,1000AM,1050AM,,,,LEC
2019S,"CAL 105I",MWF,1100AM,1150AM,,M,105,LEC
2019S,"CAL 105J",MWF,0900AM,0950AM,,BC,219,LEC
2019S,"CAL 105K",MWF,1000AM,1050AM,,M,105,LEC
2019S,"CAL 105L",MWF,1100AM,1150AM,,B,514,LEC
2019S,"CAL 105M",T,1100AM,1215PM,,M,105,LEC
2019S,"CAL 105M",R,1100AM,1215PM,,M,103,LEC
2019S,"CAL 105N",TR,0200PM,0315PM,,NB,102,LEC
2019S,"CAL 105O",TR,1230PM,0145PM,,BC,310,LEC
2019S,"CAL 105P",TR,0330PM,0445PM,,BC,204,LEC
2019S,"CAL 105Q",MWF,1000AM,1050AM,,X,119,LEC
2019S,"CAL 105R",MWF,0900AM,0950AM,,,,LEC
2019S,"CAL 105S",TR,1230PM,0145PM,,BC,204,LEC
2019S,"CAL 105T",TR,0330PM,0445PM,,B,714,LEC
2019S,"CAL 105U",TR,0200PM,0315PM,,X,119,LEC
2019S,"CAL 105V",T,1230PM,0145PM,,M,324,LEC
2019S,"CAL 105V",R,1230PM,0145PM,,ABS,301,LEC
2019S,"CAL 105W",TR,1100AM,1215PM,,BC,221,LEC
2019S,"CAL 105X",T,0200PM,0315PM,,P,216,LEC
2019S,"CAL 105X",R,0200PM,0315PM,,M,105,LEC
2019S,"CAL 105Y",TR,0930AM,1045AM,,,,LEC
2019S,"CAL 105Z",TR,1100AM,1215PM,,,,LEC
2019S,"CAL 301A",TR,1100AM,1215PM,,K,390,LEC
2019S,"CAL 301CA",TBA,,,,N/A,N/A,LEC
2019S,"CAL 495V",TBA,,,,N/A,N/A,LEC
2019S,"CAL 496CA",TBA,,,,N/A,N/A,LEC
2019S,"CAL 498A",TBA,,,,N/A,N/A,LEC
2019S,"CAL 498B",TBA,,,,N/A,N/A,LEC
2019S,"CAL 498C",TBA,,,,N/A,N/A,LEC
2019S,"CAL 498CA",TBA,,,,N/A,N/A,LEC
2019S,"CAL 498D",TBA,,,,N/A,N/A,LEC
2019S,"CAL 498E",TBA,,,,N/A,N/A,LEC
2019S,"CAL 498F",TBA,,,,N/A,N/A,LEC
2019S,"CAL 498G",TBA,,,,N/A,N/A,LEC
2019S,"CAL 498H",TBA,,,,N/A,N/A,LEC
2019S,"CAL 498I",TBA,,,,N/A,N/A,LEC
2019S,"CAL 498J",TBA,,,,N/A,N/A,LEC
2019S,"CAL 498K",TBA,,,,N/A,N/A,LEC
2019S,"CAL 498L",TBA,,,,N/A,N/A,LEC
2019S,"CAL 498M",TBA,,,,N/A,N/A,LEC
