2019S,"BIA 600JP",W,0515PM,0800PM,JP,OFF,CLOSED,LEC
2019S,"E   356B",TR,1230PM,0145PM,,BC,122,LEC
2019S,"E   356C",TR,0200PM,0315PM,,BC,122,LEC
2019S,"E   385A",TBA,,,,N/A,N/A,LEC
2019S,"E   400CA",TBA,,,,N/A,N/A,LEC
2019S,"E   400CA1",TBA,,,,N/A,N/A,LEC
2019S,"EE  181A",F,1100AM,1150AM,,BC,204,SEM
2019S,"EE  250A",R,1100AM,1150AM,,E,130,LEC
2019S,"EE  250A",M,1000AM,1140AM,,E,130,LEC
2019S,"EE  322A",M,1000AM,1150AM,,BC,122,L/L
2019S,"EE  345A",R,1100AM,1150AM,,BC,104,LEC
2019S,"EE  345A",W,1000AM,1140AM,,BC,122,LEC
2019S,"EE  348A",MW,0100PM,0215PM,,E,231,LEC
2019S,"EE  359A",T,1000AM,1140AM,,NB,102,LEC
2019S,"EE  359A",R,1000AM,1050AM,,B,715,LEC
2019S,"EE  424A",TR,0230PM,0420PM,,E,222,L/L
2019S,"EE  424X",TR,0230PM,0420PM,,N/A,N/A,L/L
2019S,"EE  424X1",TR,0230PM,0420PM,,E,230,L/L
2019S,"EE  424X2",TR,0230PM,0420PM,,X,104,L/L
2019S,"EE  424X3",TR,0230PM,0420PM,,C,207,L/L
2019S,"EE  448A",M,0615PM,0845PM,,E,230,LEC
2019S,"EE  462A",R,0630PM,0900PM,,E,330,LEC
2019S,"EE  465A",R,1230PM,0300PM,,E,229,LEC
2019S,"EE  471A",MF,0300PM,0415PM,,C,315,LEC
2019S,"EE  486A",TBA,,,,N/A,N/A,LEC
2019S,"EE  503A",TR,0500PM,0615PM,,B,715,LEC
2019S,"EE  507WS",TBA,,,WS,OFF,WEB,LEC
2019S,"EE  509A",TR,1230PM,0145PM,,B,714,LEC
2019S,"EE  510WS",TBA,,,WS,OFF,WEB,LEC
2019S,"EE  515WS",TBA,,,,OFF,WEB,LEC
2019S,"EE  516A",M,0615PM,0845PM,,B,430,LEC
2019S,"EE  517A",M,0615PM,0845PM,,X,218B,LEC
2019S,"EE  548A",M,1200PM,0230PM,,BC,304,LEC
2019S,"EE  551A",W,0300PM,0530PM,,BC,319,LEC
2019S,"EE  551B",W,0630PM,0900PM,,X,106,LEC
2019S,"EE  551WS",TBA,,,,OFF,WEB,LEC
2019S,"EE  552A",T,0330PM,0600PM,,B,514,LEC
2019S,"EE  553A",R,0630PM,0900PM,,M,205,LEC
2019S,"EE  556A",T,0330PM,0600PM,,B,430,LEC
2019S,"EE  561WS",TBA,,,WS,OFF,WEB,LEC
2019S,"EE  562WS",TBA,,,WS,OFF,WEB,LEC
2019S,"EE  575A",F,0300PM,0530PM,,B,430,LEC
2019S,"EE  583WS",TBA,,,WS,OFF,WEB,LEC
2019S,"EE  584WS",TBA,,,WS,OFF,WEB,LEC
2019S,"EE  585WS",TBA,,,WS,OFF,WEB,LEC
2019S,"EE  590A",F,0300PM,0530PM,,B,715,LEC
2019S,"EE  596A",R,1230PM,0300PM,,,,LEC
2019S,"EE  599A",TBA,,,,OFF,TBA,PRA
2019S,"EE  602A",T,0330PM,0600PM,,BC,312,LEC
2019S,"EE  602WS",TBA,,,WS,OFF,WEB,LEC
2019S,"EE  603A",R,1230PM,0300PM,,BC,212,LEC
2019S,"EE  603WS",TBA,,,WS,OFF,WEB,LEC
2019S,"EE  605A",F,1200PM,0230PM,,E,130,LEC
2019S,"EE  605WS",TBA,,,,OFF,WEB,LEC
2019S,"EE  608A",R,1230PM,0300PM,,X,119,LEC
2019S,"EE  609A",T,0330PM,0600PM,,E,111,LEC
2019S,"EE  621A",T,1230PM,0300PM,,,,LEC
2019S,"EE  627A",R,0630PM,0900PM,,B,715,LEC
2019S,"EE  628A",R,0330PM,0600PM,,BC,304,LEC
2019S,"EE  629A",M,0300PM,0530PM,,P,120,LEC
2019S,"EE  631A",M,1200PM,0230PM,,E,229,LEC
2019S,"EE  701A",TBA,,,,OFF,TBA,PRA
2019S,"EE  800A",TBA,,,,N/A,N/A,LEC
2019S,"EE  800B",TBA,,,,N/A,N/A,LEC
2019S,"EE  800C",TBA,,,,N/A,N/A,LEC
2019S,"EE  800D",TBA,,,,N/A,N/A,LEC
2019S,"EE  800L",M,1200PM,0230PM,,BC,202,LEC
2019S,"EE  801A",TBA,,,,N/A,N/A,LEC
2019S,"EE  801B",TBA,,,,N/A,N/A,LEC
2019S,"EE  801C",TBA,,,,N/A,N/A,LEC
2019S,"EE  820A",W,0200PM,0300PM,,P,216,LEC
2019S,"EE  900A",TBA,,,,N/A,N/A,LEC
2019S,"EE  900B",TBA,,,,N/A,N/A,LEC
2019S,"EE  900C",TBA,,,,N/A,N/A,LEC
2019S,"EE  900D",TBA,,,,N/A,N/A,LEC
2019S,"EE  900E",TBA,,,,N/A,N/A,LEC
2019S,"EE  950A",TBA,,,,N/A,N/A,LEC
2019S,"EE  960A",TBA,,,,N/A,N/A,LEC
2019S,"EE  960B",TBA,,,,N/A,N/A,LEC
2019S,"EE  960C",TBA,,,,N/A,N/A,LEC
2019S,"EE  960D",TBA,,,,N/A,N/A,LEC
2019S,"EE  960E",TBA,,,,N/A,N/A,LEC
2019S,"EE  960F",TBA,,,,N/A,N/A,LEC
2019S,"EE  960G",TBA,,,,N/A,N/A,LEC
2019S,"ELC 071A",W,0100PM,0350PM,,E,229,LEC
2019S,"ELC 071A",F,1200PM,0250PM,,E,229,LEC
2019S,"ELC 071B",W,0100PM,0350PM,,E,229A,LEC
2019S,"ELC 071B",F,0300PM,0550PM,,E,229A,LEC
2019S,"ELC 081A",TR,1230PM,0220PM,,NB,101,LEC
2019S,"ELC 081B",MR,1200PM,0150PM,,E,130,LEC
2019S,"ELC 091A",M,1000AM,1150AM,,NB,102,LEC
2019S,"ELC 091A",W,0200PM,0350PM,,NB,102,LEC
2019S,"EM  224A",R,0330PM,0600PM,,B,430,LEC
2019S,"EM  275A",T,1100AM,1150AM,,M,205,LEC
2019S,"EM  275A",W,1000AM,1150AM,,M,205,LEC
2019S,"EM  304A",TBA,,,,,,LAB
2019S,"EM  322A",M,0200PM,0350PM,,BC,310,L/L
2019S,"EM  322A",W,0200PM,0250PM,,BC,310,L/L
2019S,"EM  345A",TR,0800AM,0915AM,,BC,220,LEC
2019S,"EM  357A",M,1000AM,1150AM,,BC,221,LEC
2019S,"EM  357A",W,1200PM,1250PM,,BC,221,LEC
2019S,"EM  385A",TR,1230PM,0145PM,,BC,220,LEC
2019S,"EM  424A",TR,0230PM,0420PM,,BC,532B,L/L
2019S,"EM  424X",TR,0230PM,0420PM,,N/A,N/A,L/L
2019S,"EM  424X1",TR,0230PM,0420PM,,E,230,L/L
2019S,"EM  424X2",TR,0230PM,0420PM,,X,104,L/L
2019S,"EM  424X3",TR,0230PM,0420PM,,C,207,L/L
2019S,"EM  450A",TR,0930AM,1045AM,,BC,220,LEC
2019S,"EM  600A",R,0330PM,0600PM,,,,LEC
2019S,"EM  600WS",TBA,,,,OFF,WEB,LEC
2019S,"EM  605A",W,1230PM,0300PM,,BC,220,LEC
2019S,"EM  605WS",TBA,,,WS,OFF,WEB,LEC
2019S,"EM  612A",W,0630PM,0900PM,,BC,203,LEC
2019S,"EM  612B",M,0300PM,0530PM,,BC,204,LEC
2019S,"EM  612WS",TBA,,,WS,OFF,WEB,LEC
2019S,"EM  622A",T,1230PM,0300PM,,,,LEC
2019S,"EM  623A",M,0615PM,0845PM,,B,715,LEC
2019S,"EM  624A",T,0630PM,0900PM,,,,LEC
2019S,"EM  624WS",TBA,,,WS,OFF,WEB,LEC
2019S,"EM  665WS",TBA,,,WS,OFF,WEB,LEC
2019S,"EM  680A",T,0630PM,0900PM,,B,715,LEC
2019S,"EM  680WS",TBA,,,WS,OFF,WEB,LEC
2019S,"EM  703A",TBA,,,,OFF,TBA,PRA
2019S,"EMT 624MJ",S,0830AM,1230PM,MK,BC,320,LEC
2019S,"EMT 630MJ",S,0115PM,0515PM,MK,BC,321,LEC
2019S,"EMT 642MJ",S,0115PM,0515PM,MK,BC,320,LEC
2019S,"EMT 657MJ",S,0115PM,0515PM,MK,BC,319,LEC
2019S,"EMT 696MJ",S,0830AM,1230PM,MK,BC,310,LEC
2019S,"EMT 798MJ",S,0830AM,1230PM,MK,BC,321,LEC
2019S,"EN  250W1",TBA,,,WS,OFF,WEB,LEC
2019S,"EN  250W2",TBA,,,WS,OFF,WEB,LEC
2019S,"EN  250WS",TBA,,,WS,OFF,WEB,LEC
2019S,"EN  322A",R,0200PM,0450PM,,B,715,L/L
2019S,"EN  345A",W,0800AM,1050AM,,E,130,LEC
2019S,"EN  377A",M,0300PM,0350PM,,BC,304,LEC
2019S,"EN  377A",W,1200PM,0150PM,,ABS,301,LEC
2019S,"EN  379A",F,1100AM,0150PM,,R,201,LAB
2019S,"EN  424A",R,0230PM,0420PM,,R,201,L/L
2019S,"EN  424X",TR,0230PM,0420PM,,N/A,N/A,L/L
2019S,"EN  424X1",TR,0230PM,0420PM,,E,230,L/L
2019S,"EN  501A",W,0500PM,0550PM,,A,501,LEC
2019S,"EN  506A",T,0630PM,0900PM,,ABS,301,LEC
2019S,"EN  517WS",TBA,,,WS,OFF,WEB,LEC
2019S,"EN  520A",R,0630PM,0900PM,,K,360,LEC
2019S,"EN  530WS",TBA,,,WS,OFF,WEB,LEC
2019S,"EN  547WS",TBA,,,WS,OFF,WEB,LEC
2019S,"EN  570A",M,0615PM,0845PM,,E,330,LEC
2019S,"EN  571A",R,0630PM,0900PM,,E,229,LEC
2019S,"EN  587A",M,0615PM,0845PM,,E,231,LEC
2019S,"EN  637A",W,0630PM,0900PM,,R,201,LAB
2019S,"EN  686A",R,0630PM,0900PM,,P,220,LEC
2019S,"EN  690A",W,0630PM,0900PM,,P,220,LEC
2019S,"EN  692A",T,0630PM,0900PM,,BC,220,LEC
2019S,"EN  702A",TBA,,,,OFF,TBA,LEC
2019S,"EN  702B",TBA,,,,OFF,TBA,LEC
2019S,"EN  800A",TBA,,,,N/A,N/A,LEC
2019S,"EN  800B",TBA,,,,N/A,N/A,LEC
2019S,"EN  800C",TBA,,,,N/A,N/A,LEC
2019S,"EN  801A",TBA,,,,N/A,N/A,LEC
2019S,"EN  900A",TBA,,,,N/A,N/A,LEC
2019S,"EN  900B",TBA,,,,N/A,N/A,LEC
2019S,"EN  900C",TBA,,,,N/A,N/A,LEC
2019S,"EN  960A",TBA,,,,N/A,N/A,LEC
2019S,"EN  960B",TBA,,,,N/A,N/A,LEC
2019S,"EN  960C",TBA,,,,N/A,N/A,LEC
2019S,"EN  960D",TBA,,,,N/A,N/A,LEC
2019S,"EN  960E",TBA,,,,N/A,N/A,LEC
2019S,"EN  960F",TBA,,,,N/A,N/A,LEC
2019S,"ES  520CA",TBA,,,,N/A,N/A,LEC
2019S,"ES  660A",T,0330PM,0600PM,,BC,541,LEC
2019S,"ES  684CA",TBA,,,,N/A,N/A,LEC
2019S,"ES  684WS",TBA,,,WS,OFF,WEB,LEC
2019S,"FE  511A",R,1100AM,1150AM,,BC,HFSL,LEC
2019S,"FE  511B",R,1000AM,1050AM,,BC,HFSL,LEC
2019S,"FE  511C",R,0900AM,0950AM,,BC,HFSL,LEC
2019S,"FE  512A",T,0930AM,1200PM,,BC,110,LEC
2019S,"FE  513A",T,0810PM,0900PM,,BC,HFSL,LAB
2019S,"FE  513WS",TBA,,,WS,OFF,WEB,LAB
2019S,"FE  514A",R,1200PM,1250PM,,BC,110,LAB
2019S,"FE  515A",M,1000AM,1150AM,,BC,110,LEC
2019S,"FE  515WS",TBA,,,,OFF,WEB,LEC
2019S,"FE  516A",F,1200PM,1250PM,,BC,HFSL,LEC
2019S,"FE  517A",T,1100AM,1150AM,,BC,HFSL,LEC
2019S,"FE  519A",TBA,,,,,,LAB
2019S,"FE  520A",F,0600PM,0650PM,,BC,HFSL,LEC
2019S,"FE  520B",R,0100PM,0150PM,,BC,110,LEC
2019S,"FE  520WS",TBA,,,WS,OFF,WEB,LEC
2019S,"FE  522A",W,1000AM,1050AM,,BC,HFSL,LEC
2019S,"FE  522A",M,1000AM,1150AM,,BC,HFSL,LEC
2019S,"FE  522B",W,0500PM,0615PM,,BC,110,LEC
2019S,"FE  522B",F,0930AM,1045AM,,BC,110,LEC
2019S,"FE  529A",F,1100AM,1150AM,,,,LEC
2019S,"FE  530A",T,0630PM,0900PM,,BC,219,LEC
2019S,"FE  535A",M,0300PM,0530PM,,BC,319,LEC
2019S,"FE  535B",W,0630PM,0900PM,,BC,321,LEC
2019S,"FE  542A",R,0630PM,0900PM,,BC,HFSL,LEC
2019S,"FE  543A",M,0615PM,0845PM,,E,229A,LEC
2019S,"FE  545A",F,0300PM,0530PM,,BC,321,LEC
2019S,"FE  545WS",TBA,,,,OFF,WEB,LEC
2019S,"FE  550A",W,0630PM,0900PM,,BC,HFSL,LEC
2019S,"FE  550WS",TBA,,,WS,OFF,WEB,LEC
2019S,"FE  570A",T,0330PM,0600PM,,K,360,LEC
2019S,"FE  582A",T,0630PM,0810PM,,BC,HFSL,LEC
2019S,"FE  590A",M,0615PM,0845PM,,BC,110,LEC
2019S,"FE  590WS",TBA,,,WS,OFF,WEB,LEC
2019S,"FE  595A",R,0630PM,0900PM,,BC,110,LEC
2019S,"FE  595WS",TBA,,,,OFF,WEB,LEC
2019S,"FE  610A",R,0330PM,0600PM,,BC,HFSL,LEC
2019S,"FE  610WS",TBA,,,WS,OFF,WEB,LEC
2019S,"FE  620A",W,0630PM,0900PM,,P,116,LEC
2019S,"FE  621A",W,0615PM,0845PM,,BC,110,LEC
2019S,"FE  621B",T,0330PM,0600PM,,,,LEC
2019S,"FE  621WS",TBA,,,WS,OFF,WEB,LEC
2019S,"FE  622A",M,0300PM,0530PM,,,,LEC
2019S,"FE  625A",M,0615PM,0845PM,,BC,212,LEC
2019S,"FE  630A",T,0630PM,0900PM,,BC,304,LEC
2019S,"FE  630B",T,0330PM,0600PM,,BC,319,LEC
2019S,"FE  630C",W,0630PM,0900PM,,BC,310,LEC
2019S,"FE  655A",M,0615PM,0845PM,,BC,312,LEC
2019S,"FE  670A",R,0630PM,0900PM,,,,LEC
2019S,"FE  680A",M,0615PM,0845PM,,BC,HFSL,LEC
2019S,"FE  680WS",TBA,,,,OFF,WEB,LEC
2019S,"FE  703A",TBA,,,,OFF,TBA,PRA
2019S,"FE  800A",R,0630PM,0900PM,,BC,122,LEC
2019S,"FE  800B",R,0630PM,0900PM,,BC,122,LEC
2019S,"FE  800WS",TBA,,,,OFF,WEB,LEC
2019S,"FE  900A",TBA,,,,N/A,N/A,LEC
2019S,"FE  960A",TBA,,,,N/A,N/A,LEC
2019S,"FE  960B",TBA,,,,N/A,N/A,LEC
2019S,"FIN 510A",M,0615PM,0845PM,,C,315,LEC
2019S,"FIN 550A",W,0630PM,0900PM,,BC,212,LEC
2019S,"FIN 600WS",TBA,,,WS,OFF,WEB,LEC
2019S,"FIN 615A",M,0300PM,0530PM,,X,104,LEC
2019S,"FIN 615B",M,0615PM,0845PM,,C,316,LEC
2019S,"FIN 615CU",TBA,,,CU,OFF,CLOSED,LEC
2019S,"FIN 615WS",TBA,,,WS,OFF,WEB,LEC
2019S,"FIN 620A",T,0630PM,0900PM,,X,105,LEC
2019S,"FIN 623A",W,0630PM,0900PM,,BC,312,LEC
2019S,"FIN 623PF",T,0540PM,0820PM,P3,OFF,CLOSED,LEC
2019S,"FIN 623PZ1",T,0515PM,0750PM,PZ,OFF,CLOSED,LEC
2019S,"FIN 623PZ2",R,0515PM,0750PM,PZ,OFF,CLOSED,LEC
2019S,"FIN 623WS",TBA,,,WS,OFF,WEB,LEC
2019S,"FIN 626A",T,0630PM,0900PM,,BC,312,LEC
2019S,"FIN 627A",M,0615PM,0845PM,,M,103,LEC
2019S,"FIN 628A",R,0630PM,0900PM,,E,231,LEC
2019S,"FIN 629A",W,1200PM,0230PM,,M,205,LEC
2019S,"FIN 638A",W,0630PM,0900PM,,X,104,LEC
2019S,"FIN 702A",TBA,,,,OFF,TBA,LEC
2019S,"FIN 708A",M,0615PM,0845PM,,,,LEC
2019S,"H   186A",TBA,,,,N/A,N/A,SEM
2019S,"HAR 110A",F,0100PM,0450PM,,M,203,LEC
2019S,"HAR 111A",M,0900AM,1250PM,,M,203,LEC
2019S,"HAR 112A",W,0900AM,1250PM,,M,203,LEC
2019S,"HAR 113A",F,0900AM,1250PM,,M,203,LEC
2019S,"HAR 114A",F,0900AM,1250PM,,M,201,LEC
2019S,"HAR 240CA",TBA,,,,N/A,N/A,LEC
2019S,"HAR 241A",R,0900AM,1250PM,,M,201,LEC
2019S,"HAR 271A",R,0100PM,0450PM,,M,201,LEC
2019S,"HAR 280A",R,0300PM,0530PM,,M,324,LEC
2019S,"HAR 280B",F,0900AM,1130AM,,M,324,LEC
2019S,"HAR 301A",T,0100PM,0450PM,,M,201,LEC
2019S,"HAR 340A",W,0900AM,1250PM,,M,201,LEC
2019S,"HAR 343A",T,0900AM,1250PM,,M,201,LEC
2019S,"HAR 360A",M,0900AM,1250PM,,M,201,LEC
2019S,"HAR 371A",M,0100PM,0450PM,,M,201,LEC
2019S,"HAR 380CA",TBA,,,,N/A,N/A,LEC
2019S,"HAR 425A",T,0900AM,1250PM,,M,201,LEC
2019S,"HAR 440A",W,0900AM,1250PM,,M,201,LEC
2019S,"HAR 460A",M,0900AM,1250PM,,M,201,LEC
2019S,"HAR 470A",T,0900AM,1250PM,,M,203,LEC
2019S,"HAR 471A",M,0100PM,0450PM,,M,201,LEC
2019S,"HAR 490E",TBA,,,,N/A,N/A,LEC
2019S,"HAR 490O",TBA,,,,N/A,N/A,LEC
2019S,"HAR 490Y",TBA,,,,N/A,N/A,LEC
2019S,"HAR 490Z",TBA,,,,N/A,N/A,LEC
2019S,"HAR 499A",T,0100PM,0330PM,,M,203,LEC
2019S,"HHS 126A",MWF,0900AM,0950AM,,E,229A,LEC
2019S,"HHS 130A",TR,0930AM,1045AM,,E,330,LEC
2019S,"HHS 130B",TR,1100AM,1215PM,,A,501,LEC
2019S,"HHS 130C",TR,0330PM,0445PM,,BC,220,LEC
2019S,"HHS 135A",TR,0330PM,0445PM,,BC,202,LEC
2019S,"HHS 280A",R,0300PM,0530PM,,M,324,LEC
2019S,"HHS 280B",F,0900AM,1130AM,,M,324,LEC
2019S,"HHS 373EV",R,0630PM,0900PM,,M,324,LEC
2019S,"HHS 395A",TR,0500PM,0615PM,,P,216,LEC
2019S,"HHS 476A",MWF,1200PM,1250PM,,P,218,LEC
2019S,"HHS 476B",MWF,0100PM,0150PM,,P,220,LEC
2019S,"HLI 114A",TR,0330PM,0445PM,,M,105,LEC
2019S,"HLI 118A",MWF,1100AM,1150AM,,E,229,LEC
2019S,"HLI 220A",TR,0930AM,1045AM,,A,501,LEC
2019S,"HLI 316A",R,1200PM,0230PM,,M,324,LEC
2019S,"HLI 330A",TR,0200PM,0315PM,,A,501,LEC
2019S,"HLI 331A",W,1200PM,0230PM,,M,324,LEC
2019S,"HLI 357CA",TBA,,,,N/A,N/A,LEC
2019S,"HLI 358A",MWF,1200PM,1250PM,,P,220,LEC
2019S,"HLI 408EV",T,0630PM,0900PM,,M,324,LEC
2019S,"HLI 495A",T,1200PM,0230PM,,M,324,LEC
2019S,"HMU 102A",W,1230PM,0300PM,,M,103,LEC
2019S,"HMU 202A",TR,0930AM,1045AM,,M,103,LEC
2019S,"HMU 210A",TR,1230PM,0145PM,,K,390,LEC
2019S,"HMU 221A",TR,0330PM,0445PM,,M,101,LEC
2019S,"HMU 221B",MF,1000AM,1115AM,,M,101,LEC
2019S,"HMU 221C",TR,0200PM,0315PM,,M,101,LEC
2019S,"HMU 232A",M,0900AM,1250PM,,K,350,LEC
2019S,"HMU 232B",F,0100PM,0450PM,,K,350,LEC
2019S,"HMU 304A",T,1050AM,1205PM,,M,103,LEC
2019S,"HMU 304A",W,1100AM,1215PM,,M,103,LEC
2019S,"HMU 310EV",W,0630PM,0900PM,,K,390,LEC
2019S,"HMU 310EV2",R,0630PM,0900PM,,K,390,LEC
2019S,"HMU 324A",TR,0500PM,0615PM,,M,101,LEC
2019S,"HMU 334A",T,0100PM,0450PM,,K,350,LEC
2019S,"HMU 405A",W,0820AM,1050AM,,K,390,LEC
2019S,"HMU 406A",M,0100PM,0450PM,,K,350,LEC
2019S,"HMU 489A",TBA,,,,N/A,N/A,LEC
2019S,"HMU 489C",TBA,,,,N/A,N/A,LEC
2019S,"HMU 489G",TBA,,,,,,LEC
2019S,"HMU 489W",TBA,,,,N/A,N/A,LEC
2019S,"HMU 489X",TBA,,,,N/A,N/A,LEC
2019S,"HMU 490A",U,0600PM,0900PM,,P,116,LEC
2019S,"HMU 491A",W,0630PM,0930PM,,S,"4TH FL",LEC
2019S,"HMU 492A",R,0645PM,0900PM,,S,"4TH FL",LEC
2019S,"HMU 495A",R,0100PM,0450PM,,K,350,LEC
2019S,"HMU 495EV",T,0630PM,0900PM,,M,101,LEC
2019S,"HMU 496A",TBA,,,,N/A,N/A,PRA
2019S,"HMU 497A",TBA,,,,N/A,N/A,PRA
2019S,"HMU 498A",TBA,,,,N/A,N/A,PRA
2019S,"HMU 498C",TBA,,,,N/A,N/A,PRA
2019S,"HMU 498G",TBA,,,,N/A,N/A,PRA
2019S,"HMU 498W",TBA,,,,N/A,N/A,PRA
2019S,"HMU 498X",TBA,,,,N/A,N/A,PRA
2019S,"HPL 111W",MTWRF,1000AM,1200PM,,,,LEC
2019S,"HPL 111W",MTWRF,0115PM,0330PM,,,,LEC
2019S,"HPL 112A",TR,1100AM,1215PM,,BC,202,LEC
2019S,"HPL 449EV",M,0615PM,0845PM,,BC,319,LEC
2019S,"HPL 456A",TR,0200PM,0315PM,,K,360,LEC
2019S,"HPL 456B",TR,0330PM,0445PM,,,,LEC
2019S,"HPL 457EV",W,0630PM,0900PM,,M,324,LEC
2019S,"HPL 457W",MTWRF,1000AM,1200PM,,,,LEC
2019S,"HPL 457W",MTWRF,0115PM,0330PM,,,,LEC
2019S,"HSS 128A",TR,0930AM,1045AM,,BC,202,LEC
2019S,"HSS 128B",T,1100AM,1215PM,,E,229,LEC
2019S,"HSS 128B",R,1100AM,1215PM,,E,230,LEC
2019S,"HSS 141A",MW,0835AM,0950AM,,E,231,LEC
2019S,"HSS 141B",TR,0930AM,1045AM,,E,231,LEC
2019S,"HSS 175A",TR,0330PM,0445PM,,E,231,LEC
2019S,"HSS 175B",TR,1230PM,0145PM,,A,501,LEC
2019S,"HSS 175C",TR,0200PM,0315PM,,E,231,LEC
2019S,"HSS 280A",T,1100AM,1215PM,,M,324,LEC
2019S,"HSS 280A",R,1100AM,1215PM,,B,715,LEC
2019S,"HSS 280B",TR,0330PM,0445PM,,E,229A,LEC
2019S,"HSS 301A",R,0900AM,1130AM,,B,714,LEC
2019S,"HSS 324A",TR,1230PM,0145PM,,P,220,LEC
2019S,"HSS 331A",TR,0200PM,0315PM,,BC,304,LEC
2019S,"HSS 371A",TR,0330PM,0445PM,,P,218,LEC
2019S,"HSS 371B",F,1200PM,0230PM,,P,216,LEC
2019S,"HSS 371C",T,0300PM,0530PM,,M,324,LEC
2019S,"HSS 376A",TR,1230PM,0145PM,,P,216,LEC
2019S,"HSS 379W",MTWRF,1000AM,1200PM,,,,LEC
2019S,"HSS 379W",MTWRF,0115PM,0330PM,,,,LEC
2019S,"HST 120A",TR,0930AM,1045AM,,B,514,LEC
2019S,"HST 120B",TR,1100AM,1215PM,,B,514,LEC
2019S,"HST 160A",TR,0200PM,0315PM,,P,218,LEC
2019S,"HST 160B",MW,1100AM,1215PM,,E,231,LEC
2019S,"HST 301A",R,0900AM,1130AM,,B,714,LEC
2019S,"HST 325A",M,0900AM,1130AM,,M,324,LEC
2019S,"HST 370A",MWF,1000AM,1050AM,,P,216,LEC
2019S,"HST 401A",W,0900AM,1130AM,,M,324,LEC
2019S,"HST 495A",TR,0200PM,0315PM,,P,220,LEC
2019S,"IPD 611A",M,0615PM,0845PM,,P,218,LEC
2019S,"ISE 224A",R,0330PM,0600PM,,B,430,LEC
2019S,"ISE 225A",T,0330PM,0600PM,,BC,503,LEC
2019S,"ISE 322A",M,1200PM,0150PM,,BC,532B,L/L
2019S,"ISE 322A",W,0100PM,0150PM,,BC,532B,L/L
2019S,"ISE 345A",TR,0800AM,0915AM,,BC,220,LEC
2019S,"ISE 357A",M,1000AM,1150AM,,BC,221,LEC
2019S,"ISE 357A",W,1200PM,1250PM,,BC,221,LEC
2019S,"LFR 102A",TR,0930AM,1045AM,,K,390,LEC
2019S,"LFR 202A",MW,0100PM,0215PM,,,,LEC
2019S,"LSP 101A",TR,0930AM,1045AM,,BC,204,LEC
2019S,"LSP 102A",TR,1100AM,1215PM,,NB,101,LEC
2019S,"LSP 202A",TR,1230PM,0145PM,,E,111,LEC
2019S,"MA  119A",MW,1000AM,1050AM,,NB,105,LEC
2019S,"MA  119B",MW,0100PM,0150PM,,BC,122,LEC
2019S,"MA  119RA",R,0930AM,1020AM,,B,430,RCT
2019S,"MA  119RB",R,1100AM,1150AM,,B,430,RCT
2019S,"MA  119RC",R,0200PM,0250PM,,P,216,RCT
2019S,"MA  119RD",R,0330PM,0420PM,,P,220,RCT
2019S,"MA  121A",MWF,1000AM,1050AM,,P,220,LEC
2019S,"MA  121RA",TR,1100AM,1150AM,,P,218,RCT
2019S,"MA  122A",MWF,0900AM,0950AM,,BC,220,LEC
2019S,"MA  122AA",MWF,1000AM,1050AM,,P,220,LEC
2019S,"MA  122B",MWF,1000AM,1050AM,,,,LEC
2019S,"MA  122RA",TR,0930AM,1020AM,,X,105,RCT
2019S,"MA  122RAA",TR,1100AM,1150AM,,P,218,RCT
2019S,"MA  122RB",T,1100AM,1150AM,,BC,104,RCT
2019S,"MA  122RB",R,1100AM,1150AM,,B,517,RCT
2019S,"MA  123A",MWF,0900AM,0950AM,,K,360,LEC
2019S,"MA  123AA",MWF,0900AM,0950AM,,BC,220,LEC
2019S,"MA  123B",MWF,0900AM,0950AM,,C,315,LEC
2019S,"MA  123BB",MWF,1000AM,1050AM,,,,LEC
2019S,"MA  123C",MWF,0900AM,0950AM,,NB,105,LEC
2019S,"MA  123D",MWF,0900AM,0950AM,,X,218A,LEC
2019S,"MA  123E",MWF,1000AM,1050AM,,P,116,LEC
2019S,"MA  123F",MWF,1000AM,1050AM,,M,103,LEC
2019S,"MA  123G",MWF,1000AM,1050AM,,BC,321,LEC
2019S,"MA  123H",MWF,1200PM,1250PM,,P,116,LEC
2019S,"MA  123I",MWF,1200PM,1250PM,,K,360,LEC
2019S,"MA  123J",MWF,1200PM,1250PM,,BC,321,LEC
2019S,"MA  123K",MWF,0100PM,0150PM,,K,360,LEC
2019S,"MA  123L",MWF,0100PM,0150PM,,X,218B,LEC
2019S,"MA  123RA",TR,0800AM,0850AM,,BC,219,RCT
2019S,"MA  123RAA",TR,0930AM,1020AM,,X,105,RCT
2019S,"MA  123RB",TR,0800AM,0850AM,,BC,221,RCT
2019S,"MA  123RBB",T,1100AM,1150AM,,BC,104,RCT
2019S,"MA  123RBB",R,1100AM,1150AM,,B,517,RCT
2019S,"MA  123RC",TR,0800AM,0850AM,,,,RCT
2019S,"MA  123RD",TR,0800AM,0850AM,,BC,310,RCT
2019S,"MA  123RE",TR,0930AM,1020AM,,C,315,RCT
2019S,"MA  123RF",TR,0930AM,1020AM,,C,316,RCT
2019S,"MA  123RG",TR,0930AM,1020AM,,P,220,RCT
2019S,"MA  123RH",TR,0930AM,1020AM,,BC,219,RCT
2019S,"MA  123RI",TR,0930AM,1020AM,,BC,221,RCT
2019S,"MA  123RJ",TR,0930AM,1020AM,,NB,105,RCT
2019S,"MA  123RK",TR,1100AM,1150AM,,X,218A,RCT
